seed,stage,epoch,metric_type,value
42.0,Backbone,2,training_accuracy,91.32040086737385
42.0,Backbone,2,validation_loss,0.4250767610289834
42.0,Backbone,2,validation_accuracy,92.57673090649536
42.0,Backbone,3,training_loss,0.39280160262566827
42.0,Backbone,3,training_accuracy,92.01195569360605
42.0,Backbone,3,validation_loss,0.28771693394942716
42.0,Backbone,3,validation_accuracy,98.71520342612419
42.0,Backbone,4,training_loss,0.3841086934121807
42.0,Backbone,4,training_accuracy,92.84416573873293
42.0,Backbone,4,validation_loss,0.37576492063023825
42.0,Backbone,4,validation_accuracy,94.50392576730907
42.0,Backbone,5,training_loss,0.3747849008452133
42.0,Backbone,5,training_accuracy,93.16650061536659
42.0,Backbone,5,validation_loss,0.2455210401253267
42.0,Backbone,5,validation_accuracy,99.57173447537473
42.0,Backbone,6,training_loss,0.365237457642841
42.0,Backbone,6,training_accuracy,93.41264724843228
42.0,Backbone,6,validation_loss,0.27698754654689267
42.0,Backbone,6,validation_accuracy,98.85795860099928
42.0,Backbone,7,training_loss,0.3585953839430202
42.0,Backbone,7,training_accuracy,93.72912149094532
42.0,Backbone,7,validation_loss,0.32134918055751105
42.0,Backbone,7,validation_accuracy,97.35902926481084
42.0,Backbone,8,training_loss,0.36114695043153083
42.0,Backbone,8,training_accuracy,93.69395768622165
42.0,Backbone,8,validation_loss,0.31589866666631267
42.0,Backbone,8,validation_accuracy,97.93004996431121
42.0,Backbone,9,training_loss,0.3529452100563585
42.0,Backbone,9,training_accuracy,94.05145636757898
42.0,Backbone,9,validation_loss,0.398202428763563
42.0,Backbone,9,validation_accuracy,87.72305496074233
42.0,Backbone,10,training_loss,0.3517540286152104
42.0,Backbone,10,training_accuracy,94.24485729355916
42.0,Backbone,10,validation_loss,0.28824919800866733
42.0,Backbone,10,validation_accuracy,98.64382583868665
